sequence	16S_rRNA_Count	metadata_NSTI
00124048cf84d08abafd844375558e38	1	0.009298
00197a84bc2b537f6df9075b3ec3d3cb	2	0.009294
00250e4a9d4f542d986024e1d3f39698	1	0.000101
0035bd88d02a76990ba6e6a3f458382c	1	0.000101
0037ab56f1acccdc2ed95d338cec65fa	1	0.034083999999999996
003e253932cf83d92de80661474011ca	1	0.068076
004567e81923ea6ac36158afc3238395	4	0.064256
004eaff35d1b108351c9510c9ef5b049	1	0.00015
00708dd311bb103d09590e19306a6db1	1	0.00462
0071487497f9ff75736b0a9304d08fdf	1	0.0143
00718f71f0ae98b65cfa1ebcdbbad364	1	0.065151
007320d09c8d34daf40ffa7045493f56	1	0.32590399999999997
0081f9bbb620b603b00587a501f5e049	1	0.004647999999999999
008424814de206f3ac6bb13a978078e2	1	0.009406999999999999
00858e96c32f8c7456cb553d8736bdec	1	0.026001
008e24dbb45c73260677229afa0d8b09	1	0.004632
00947d7cf743ae97b4f32afc504b7dad	1	0.153643
00a46e41acd7c22dee1355fa011ae1d2	1	0.173261
00a96fbd0ac34bfd245f9c24f8737f7d	1	0.177484
00b8d94cff0893c0d5fce011ccce43f6	1	0.090693
00c4ac170b9d6666af6af12622f6a4ab	1	0.004612
01323082b9597f1b25e9bae602fbfd54	1	0.004651
0141289ace71b975fa8676a471b7918e	1	0.004634
014dad4996aec6bef522e39debb0f2ba	1	0.075781
01621335ad2c34ce51d95b18cd48c097	2	0.022393
0167df5430d55fedfbd6dc71f5d2b77f	1	0.11843800000000002
016d1328105a6b628434c16dd894fc16	1	0.022058
0175a8ec6a6141bd6ce009e3a4b98509	1	0.212939
017cb556dfc31f9776ccd46a378d769d	1	0.155182
0190302afde8b64d231ef9931ad36b25	1	0.004612
019b9d7618eb99bdacfd6fdd14502af8	2	0.243561
019fa3324b27c9bf9f4dfa791067c98f	1	0.076862
01dacaf687a36e08197ce959a95045e7	2	0.409684
01dfda159f6761da9f9677c5f93db1f7	1	0.005342
01fc9949e5bbb4d1805bf82dafe8d1b7	1	0.310531
022a91368244832b2911fe6fd558b0f4	1	0.408639
0232b56c81bb04fb94bdcfdf8b073ae1	1	0.00015
0243b68c76049aa1b8c51a20333da950	2	0.18887400000000001
024793acad6274dcce5c25d789ab3c48	2	0.070235
025fb4f664dc043abdeae400256c8fa7	1	0.041374
02744c617d829f93308ba51658574b72	1	0.004599
027fcc818dbd0a1ab863d175811b9ef2	1	0.009215000000000001
02b4317d07dfa2d4bcf0b885431ba6ce	1	0.174197
